DocType: Fiscal Year,**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** በጀት ዓመት ** አንድ የፋይናንስ ዓመት ይወክላል. ሁሉም የሂሳብ ግቤቶች እና ሌሎች ዋና ዋና ግብይቶች ** ** በጀት ዓመት ላይ ክትትል ነው.
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +60,Contract,ስምምነት
DocType: Delivery Note,DN-,DN-
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.js +16,Period,ወቅት
DocType: Issue,Support Team,የድጋፍ ቡድን
DocType: Leave Control Panel,Leave blank if considered for all designations,ሁሉንም ስያሜዎች እየታሰቡ ከሆነ ባዶውን ይተው
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +24,Electronics,ኤሌክትሮኒክስ
DocType: Shipping Rule,Shipping Account,መላኪያ መለያ
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.py +50,"To filter based on Party, select Party Type first",የድግስ ላይ የተመሠረተ ለማጣራት ይምረጡ ፓርቲ በመጀመሪያ ይተይቡ
apps/erpnext/erpnext/config/crm.py +12,Database of potential customers.,የወደፊት ደንበኞች ውሂብ ጎታ.
DocType: Student Guardian,Student Guardian,የተማሪ አሳዳጊ
apps/erpnext/erpnext/schools/doctype/course_scheduling_tool/course_scheduling_tool.py +53,Course Schedules deleted:,እርግጥ ነው መርሐግብሮች ተሰርዟል:
DocType: Department,Days for which Holidays are blocked for this department.,ቀኖች ስለ በዓላት በዚህ ክፍል ታግደዋል.
apps/erpnext/erpnext/stock/doctype/item/item_list.js +14,Template,አብነት
apps/erpnext/erpnext/templates/generators/student_admission.html +23,Apply Now,አሁኑኑ ያመልክቱ
apps/erpnext/erpnext/hr/doctype/employee/employee.py +107,Date of Joining must be greater than Date of Birth,በመቀላቀል ቀን የልደት ቀን የበለጠ መሆን አለበት
DocType: Item,Item Tax,ንጥል ግብር
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.js +20,Resend Payment Email,የክፍያ ኢሜይል ላክ
DocType: Grade Interval,From Score,ውጤት ከ
apps/erpnext/erpnext/accounts/report/item_wise_sales_register/item_wise_sales_register.py +59,Receivable Account,የሚሰበሰብ መለያ
DocType: Authorization Rule,Transaction,ግብይት
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +183,Against Journal Entry {0} is already adjusted against some other voucher,ጆርናል ላይ የሚመዘገብ {0} አስቀድሞ አንዳንድ ሌሎች ቫውቸር ላይ ማስተካከያ ነው
DocType: Period Closing Voucher,"The account head under Liability or Equity, in which Profit/Loss will be booked","ትርፍ / ማጣት ላስያዙበት ይሆናል ውስጥ ተጠያቂነት ወይም የፍትሃዊነት ስር መለያ ራስ,"
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js +100,Different UOM for items will lead to incorrect (Total) Net Weight value. Make sure that Net Weight of each item is in the same UOM.,ንጥሎች በተለያዩ UOM ትክክል (ጠቅላላ) የተጣራ ክብደት ዋጋ ሊመራ ይችላል. እያንዳንዱ ንጥል የተጣራ ክብደት ተመሳሳይ UOM ውስጥ መሆኑን እርግጠኛ ይሁኑ.
DocType: Cheque Print Template,Width of amount in word,ቃል ውስጥ መጠን ስፋት
DocType: Request for Quotation,Supplier Detail,በአቅራቢዎች ዝርዝር
DocType: Salary Slip,Arrear Amount,Arrear መጠን
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py +34,Cannot change Fiscal Year Start Date and Fiscal Year End Date once the Fiscal Year is saved.,የ በጀት ዓመት ተቀምጧል አንዴ በጀት ዓመት የመጀመሪያ ቀን እና በጀት ዓመት መጨረሻ ቀን መቀየር አይቻልም.
apps/erpnext/erpnext/utilities/doctype/address/address.py +108,There is an error in your Address Template {0},ከእርስዎ አድራሻ መለጠፊያ ውስጥ አንድ ስህተት አለ {0}
apps/erpnext/erpnext/controllers/selling_controller.py +168,Selling price for item {0} is lower than its {1}. Selling price should be atleast {2},ንጥል ዋጋ መሸጥ {0} ያነሰ ነው ያለው {1}. ዋጋ መሸጥ አለበት ላይ ቢያንስ {2}
DocType: Global Defaults,Disable Rounded Total,የተጠጋጋ ጠቅላላ አሰናክል
DocType: Payment Entry,Unallocated Amount,unallocated መጠን
DocType: C-Form,Series,ተከታታይ
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +236,{0} {1} is closed,{0} {1} ዝግ ነው
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +120,Exchange Gain/Loss,የ Exchange ቅሰም / ማጣት
DocType: Project,Total Purchase Cost (via Purchase Invoice),ጠቅላላ የግዢ ዋጋ (የግዢ ደረሰኝ በኩል)
apps/erpnext/erpnext/setup/setup_wizard/install_fixtures.py +158,Large,ትልቅ
DocType: Student Admission,Application Form Route,ማመልከቻ ቅጽ መስመር
DocType: Campaign,"Keep Track of Sales Campaigns. Keep track of Leads, Quotations, Sales Order etc from Campaigns to gauge Return on Investment.","የሽያጭ ዘመቻዎች ይከታተሉ. እርሳሶች, ጥቅሶች ተከታተል, የሽያጭ ትዕዛዝ ወዘተ ዘመቻዎች ከ ኢንቨስትመንት ላይ ተመለስ ለመለካት."
DocType: Leave Control Panel,Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,እናንተ ደግሞ ካለፈው በጀት ዓመት ሚዛን በዚህ የበጀት ዓመት ወደ ቅጠሎች ማካተት የሚፈልጉ ከሆነ ወደፊት አኗኗራችሁ እባክዎ ይምረጡ
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +40,Pension Funds,የጡረታ ፈንድ
DocType: Installation Note,IN-,A ንችልም
DocType: Maintenance Schedule Item,Periodicity,PERIODICITY
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js +44,Ageing Range 2,ጥበቃና ክልል 2
apps/erpnext/erpnext/stock/doctype/item/item.py +208,Warning: Invalid SSL certificate on attachment {0},ማስጠንቀቂያ: አባሪ ላይ ልክ ያልሆነ SSL ሰርቲፊኬት {0}
apps/erpnext/erpnext/demo/setup/setup_data.py +319,Travel,ጉዞ
apps/erpnext/erpnext/setup/setup_wizard/industry_type.py +32,Internet Publishing,የኢንተርኔት ህትመት
apps/erpnext/erpnext/controllers/website_list_for_contact.py +86,{0}% Billed,{0}% የሚከፈል
DocType: Account,Tax,ግብር
DocType: Stock Entry Detail,Material Request used to make this Stock Entry,ቁሳዊ ጥያቄ ይህ የአክሲዮን የሚመዘገብ ለማድረግ ስራ ላይ የሚውለው
DocType: Salary Component,Abbr,Abbr
DocType: Student,Home Address,የቤት አድራሻ
DocType: Sales Invoice,In Words will be visible once you save the Sales Invoice.,አንተ ወደ የሽያጭ ደረሰኝ ማስቀመጥ አንዴ ቃላት ውስጥ የሚታይ ይሆናል.
apps/erpnext/erpnext/stock/doctype/item/item.js +51,This Item is a Template and cannot be used in transactions. Item attributes will be copied over into the variants unless 'No Copy' is set,ይህ ንጥል አብነት ነው ግብይቶች ላይ ሊውል አይችልም. &#39;ምንም ቅዳ »ከተዋቀረ በስተቀር ንጥል ባህሪዎች ልዩነቶች ወደ ላይ ይገለበጣሉ
DocType: Lead,Blog Subscriber,የጦማር የተመዝጋቢ
apps/erpnext/erpnext/hr/doctype/employee/employee.py +23,Please setup Employee Naming System in Human Resource &gt; HR Settings,እባክዎ&gt; የሰው ሃብት ውስጥ HR ቅንብሮች ስርዓት መሰየምን ማዋቀር ሰራተኛ
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +149,Please specify a valid Row ID for row {0} in table {1},ሰንጠረዥ ውስጥ ረድፍ {0} ትክክለኛ የረድፍ መታወቂያ እባክዎን ለይተው {1}
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py +216,Warehouses with child nodes cannot be converted to ledger,ልጅ እንደ አንጓዎች ጋር መጋዘኖችን ያሰኘንን ወደ ሊቀየር አይችልም
DocType: Grade Interval,Grade Code,ኛ ክፍል ኮድ
apps/erpnext/erpnext/public/js/utils/party.js +146,Please enter {0} first,በመጀመሪያ {0} ያስገቡ
apps/erpnext/erpnext/stock/doctype/item/item.py +623,Item has variants.,ንጥል ተለዋጮች አለው.
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py +177,Reference Doctype must be one of {0},ማጣቀሻ Doctype ውስጥ አንዱ መሆን አለበት {0}
apps/erpnext/erpnext/support/doctype/issue/issue.js +24,Add to Knowledge Base,እውቀት ቤዝን ወደ አክል
DocType: Activity Cost,Projects User,ፕሮጀክቶች ተጠቃሚ
DocType: Purchase Invoice,Additional Discount Amount,ተጨማሪ የቅናሽ መጠን
DocType: Purchase Taxes and Charges,Consider Tax or Charge for,ለ ታክስ ወይም ክፍያ ተመልከት
DocType: Employee,You can enter any date manually,እራስዎ ማንኛውንም ቀን ያስገቡ ይችላሉ
DocType: Lead,Organization Name,የድርጅት ስም
DocType: Course,Course Intro,የኮርስ መግቢያ
apps/erpnext/erpnext/public/js/conf.js +28,User Forum,የተጠቃሚ መድረክ
DocType: Payment Request,Transaction Currency,የግብይት ምንዛሬ
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +211,Production Order {0} must be cancelled before cancelling this Sales Order,የምርት ትዕዛዝ {0} ይህን የሽያጭ ትዕዛዝ በመሰረዝ በፊት ተሰርዟል አለበት
apps/erpnext/erpnext/public/js/financial_statements.js +73,Start Year,የጀመረበት ዓመት
DocType: Payment Request,PR,የህዝብ ግንኙነት
apps/erpnext/erpnext/stock/doctype/item/item.py +171,Website Image {0} attached to Item {1} cannot be found,ንጥል {1} ጋር ተያይዞ ድር ጣቢያ ምስል {0} ሊገኝ አልቻለም
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +276,Please select Employee Record first.,በመጀመሪያ የተቀጣሪ ሪኮርድ ይምረጡ.
DocType: Student Siblings,Student Siblings,የተማሪ እህቶቼ
DocType: Delivery Note,Vehicle Dispatch Date,የተሽከርካሪ አስወገደ ቀን
apps/erpnext/erpnext/public/js/setup_wizard.js +14,Select your Domain,የጎራ ይምረጡ
DocType: Sales Partner,Retailer,ቸርቻሪ
DocType: Item,Default Selling Cost Center,ነባሪ ሽያጭ ወጪ ማዕከል
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.py +371,Production Order cannot be raised against a Item Template,የምርት ትዕዛዝ አንድ ንጥል መለጠፊያ ላይ ይነሣሉ አይችልም
DocType: Issue,Raised By (Email),በ አስነስቷል (ኢሜይል)
apps/erpnext/erpnext/projects/report/daily_timesheet_summary/daily_timesheet_summary.py +24,To Datetime,DATETIME ወደ
DocType: Purchase Invoice,Cash/Bank Account,በጥሬ ገንዘብ / የባንክ መለያ
DocType: Payment Reconciliation,Unreconciled Payment Details,Unreconciled የክፍያ ዝርዝሮች
apps/erpnext/erpnext/controllers/buying_controller.py +262,Specified BOM {0} does not exist for Item {1},ንጥል ለማግኘት የለም የተጠቀሰዉ BOM {0} {1}
apps/erpnext/erpnext/config/selling.py +46,All Addresses.,ሁሉም አድራሻዎች.
apps/erpnext/erpnext/schools/doctype/student_applicant/student_applicant.js +10,Reject,አይቀበሉ
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js +22,New Cost Center Name,አዲስ የወጪ ማዕከል ስም
DocType: Payment Gateway Account,Payment Account,የክፍያ መለያ
DocType: Student,Guardian Details,አሳዳጊ ዝርዝሮች
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py +116,This Month's Summary,በዚህ ወር የሰጠው ማጠቃለያ
apps/erpnext/erpnext/schools/doctype/course_scheduling_tool/course_scheduling_tool.py +49,Course Schedules created:,እርግጥ ነው መርሐግብሮች ተፈጥሯል:
DocType: Leave Block List,Leave Block List Allowed,አግድ ዝርዝር ተፈቅዷል ይነሱ
DocType: Production Order,Production Order,የምርት ትዕዛዝ
DocType: Account,Parent Account,የወላጅ መለያ
DocType: Employee,Provide email id registered in company,ኩባንያ ውስጥ የተመዘገበ የኢሜይል መታወቂያ መስጠት
DocType: Purchase Taxes and Charges,On Previous Row Amount,ቀዳሚ ረድፍ መጠን ላይ
DocType: Task,Actual Time (in Hours),(ሰዓቶች ውስጥ) ትክክለኛ ሰዓት
DocType: Budget,Budget,ባጀት
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +57,{0} {1}: Either debit or credit amount is required for {2},{0} {1}: የዴቢት ወይም የክሬዲት መጠን ወይ ያስፈልጋል {2}
DocType: Company,Chart Of Accounts Template,መለያዎች አብነት ነው ገበታ
DocType: Landed Cost Taxes and Charges,Landed Cost Taxes and Charges,ደረስን ወጪ ግብሮች እና ክፍያዎች
DocType: Request for Quotation Item,Project Name,የፕሮጀክት ስም
apps/erpnext/erpnext/controllers/item_variant.py +51,Increment for Attribute {0} cannot be 0,አይነታ ጭማሬ {0} 0 መሆን አይችልም
DocType: Activity Cost,Activity Cost,የእንቅስቃሴ ወጪ
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +199,Leave of type {0} cannot be longer than {1},አይነት ፈቃድ {0} በላይ ሊሆን አይችልም {1}
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html +17,Ref,ማጣቀሻ
DocType: Homepage,Tag Line,መለያ መስመር
apps/erpnext/erpnext/fleet_management/report/vehicle_expenses/vehicle_expenses.py +21,License,ፈቃድ
,Open Production Orders,ክፈት ምርት ትዕዛዞች
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +81,Raw material cannot be same as main Item,ጥሬ ዋና ንጥል ጋር ተመሳሳይ ሊሆን አይችልም
DocType: Sales Invoice,Time Sheet List,የጊዜ ሉህ ዝርዝር
DocType: Sales Invoice,Accounting Details,አካውንቲንግ ዝርዝሮች
DocType: Purchase Invoice Item,Accepted Warehouse,ተቀባይነት መጋዘን
DocType: Task,Total Billing Amount (via Time Sheet),ጠቅላላ የሂሳብ አከፋፈል መጠን (ጊዜ ሉህ በኩል)
DocType: GL Entry,Debit Amount in Account Currency,መለያ ምንዛሬ ውስጥ ዴት መጠን
DocType: Budget Account,Budget Amount,የበጀት መጠን
apps/erpnext/erpnext/buying/doctype/request_for_quotation/request_for_quotation.js +737,Make Supplier Quotation,አቅራቢው ትዕምርተ አድርግ
apps/erpnext/erpnext/config/setup.py +89,Automatically compose message on submission of transactions.,በራስ-ሰር ግብይቶች ማቅረቢያ ላይ መልዕክት ያዘጋጁ.
DocType: Offer Letter,Awaiting Response,ምላሽ በመጠባበቅ ላይ
DocType: Salary Component,Deduction,ቅናሽ
DocType: Purchase Taxes and Charges Template,"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","ሁሉም የግዢ የግብይት ሊተገበር የሚችል መደበኛ ግብር አብነት. ይህን አብነት ወዘተ #### ሁሉንም ** ንጥሎች መደበኛ የግብር ተመን ይሆናል እዚህ ላይ ለመግለጽ የግብር ተመን ልብ በል &quot;አያያዝ&quot;, ግብር ራሶች እና &quot;መላኪያ&quot;, &quot;ዋስትና&quot; ያሉ ደግሞ ሌሎች ወጪ ራሶች ዝርዝር ሊይዝ ይችላል * *. የተለያየ መጠን ያላቸው ** ዘንድ ** ንጥሎች አሉ ከሆነ, እነርሱ ** ንጥል ግብር ውስጥ መታከል አለበት ** የ ** ንጥል ** ጌታ ውስጥ ሰንጠረዥ. #### አምዶች መግለጫ 1. የስሌት አይነት: - ይህ (መሠረታዊ መጠን ድምር ነው) ** ኔት ጠቅላላ ** ላይ ሊሆን ይችላል. - ** ቀዳሚ የረድፍ ጠቅላላ / መጠን ** ላይ (ድምር ግብሮች ወይም ክፍያዎች). ይህን አማራጭ ይምረጡ ከሆነ, የግብር መጠን ወይም ጠቅላላ (ግብር ሰንጠረዥ ውስጥ) ቀዳሚው ረድፍ መቶኛ አድርገው ተግባራዊ ይደረጋል. - ** ** ትክክለኛው (እንደተጠቀሰው). 2. መለያ ኃላፊ: ይህን ግብር 3. ወጪ ማዕከል ላስያዙበት ይሆናል ይህም ስር መለያ የመቁጠር: ግብር / ክፍያ (መላኪያ ያሉ) ገቢ ነው ወይም ገንዘብ ከሆነ አንድ ወጪ ማዕከል ላይ ላስያዙበት አለበት. 4. መግለጫ: ግብር መግለጫ (ይህ ደረሰኞች / ጥቅሶች ውስጥ የታተመ ይሆናል). 5. ምት: የግብር ተመን. 6. መጠን: የግብር መጠን. 7. ጠቅላላ: ይህን ነጥብ ድምር ድምር. 8. ረድፍ አስገባ: ላይ የተመሠረተ ከሆነ &quot;ቀዳሚ የረድፍ ጠቅላላ&quot; ይህን ስሌት አንድ መሠረት (ነባሪ ቀዳሚው ረድፍ ነው) እንደ ይወሰዳሉ ይህም ረድፍ ቁጥር መምረጥ ይችላሉ. 9. ስለ ታክስ ወይም ክፍያ እንመልከት: የግብር / ክስ ከግምቱ ብቻ ነው (ጠቅላላ ክፍል ሳይሆን) ወይም ብቻ ነው (ወደ ንጥል እሴት መጨመር አይደለም) ጠቅላላ ወይም ለሁለቱም ከሆነ በዚህ ክፍል ውስጥ መግለጽ ይችላሉ. 10. አክል ወይም ተቀናሽ: ማከል ወይም የታክስ ተቀናሽ ይፈልጋሉ ይሁን."
